1;Building Applications with ASP.NET MVC 4;This course is a comprehensive introduction to ASP.NET MVC 4, and will give you the essentials you need to start building applications with Microsoft's MVC framework.;http://pluralsight.com/training/Courses/TableOfContents/mvc4-building;http://s.pluralsight.com/mn/img/cs/aspdotnet-v1.png;Done
2;Introduction to CSS;This course introduces you to Cascading Style Sheets (CSS);http://pluralsight.com/training/Courses/TableOfContents/css-intro;http://s.pluralsight.com/mn/img/cs/css-v1.png;Done
3;Building HTML5 and JavaScript Apps with MVVM and Knockout;Learn how to build robust and maintainable Web applications with JavaScript patterns, MVVM, and KnockoutJS.;http://pluralsight.com/training/Courses/TableOfContents/knockout-mvvm;http://s.pluralsight.com/mn/img/cs/javascript-v1.png;Done
4;Node.js for .NET Developers;As Node.js becomes a viable solution for certain types of web applications, it would be beneficial to apply your existing .NET skills to this new technology. This course will show you how.;http://pluralsight.com/training/Courses/TableOfContents/nodejs-dotnet-developers;http://s.pluralsight.com/mn/img/cs/nodejs-v2.png;Done
5;C# Design Strategies;Learn Gang of Four Design Patterns as well as good coding practice from Jon Skeet - one of the top C# programmers in the industry.;http://pluralsight.com/training/Courses/TableOfContents/csharp-design-strategies;http://s.pluralsight.com/mn/img/cs/csharp-v1.png;Done
6;JavaScript for C# Developers;Most developers have to dive into JavaScript at some point. This course will help you map your C# skills to JavaScript. With Node.js, Web Development and WinRT all requiring JavaScript, C# developers need to know this important language.;http://pluralsight.com/training/Courses/TableOfContents/js4cs;http://s.pluralsight.com/mn/img/cs/javascript-v1.png;Done
7;TypeScript Fundamentals;The TypeScript Fundamentals course will walk you through the key concepts and features that you need to know to get started with TypeScript, and use it to build large (and small) scale JavaScript applications.;http://pluralsight.com/training/Courses/TableOfContents/typescript;http://s.pluralsight.com/mn/img/cs/javascript-v1.png;Done
8;ASP.NET MVC 5 Fundamentals;ASP.NET MVC 5 Fundamentals covers all the new features of ASP.NET MVC 5, as well as the new features for web developers in Visual Studio 2013, including WebApi 2, OWIN, Katana, SignalR, and the Entity Framework version 6.;http://pluralsight.com/training/courses/TableOfContents?courseName=aspdotnet-mvc5-fundamentals&highlight=;http://s.pluralsight.com/mn/img/cs/aspdotnet-v1.png;Done
9;AngularJS Fundamentals;This course will teach you the AngularJS fundamentals required to create testable, MVC-style single page applications with AngularJS.;http://pluralsight.com/training/Courses/TableOfContents/angularjs-fundamentals;http://s.pluralsight.com/mn/img/cs/javascript-v1.png;Done
10;Introduction to Ruby on Rails 3 and 4;This course will cover all of the basics of working with the Ruby on Rails 3 and 4 frameworks.;http://pluralsight.com/training/Courses/TableOfContents/ruby-on-rails3-fundamentals;http://s.pluralsight.com/mn/img/cs/ruby-v1.png;Not Done
11;Testing Clientside JavaScript;Learn the tools and techniques to write comprehensive unit tests for your clientside JavaScript code.;http://pluralsight.com/training/Courses/TableOfContents/testing-javascript;http://s.pluralsight.com/mn/img/cs/lg/javascript-v1.png;In Progress
